0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Spring Symphony Foam Flower,Tiarella Spring Symphony,Tiarella,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,spreading mat,,"lobed, semi-evergreen, often mottled",0.5,1,1,2,Part shade to full shade,Medium,"rich, moist, well-drained",4 to 9,,,,,,,,April to June,burgundy marbling intensifies,October to March,,"foam flower, shade ground cover, attractive foliage",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Concord Grape Spiderwort,Tradescantia andersoniana Concord Grape,Tradescantia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,spreading clump,,"strap-like, succulent-looking",1.5,2.5,1.5,2,Full sun to part shade,Medium,"average, medium, well-drained",4 to 9,,TRUE,,,,,,May to August,,,,"spiderwort, long-blooming, clump-forming",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
White Trillium,Trillium grandiflorum,Trillium,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,mound,,"ovate, whorled in threes",1,1.5,0.5,1,Part shade to full shade,Medium,"rich, moist, well-drained",3 to 8,,,,,8,5,white,April to May,,,,spring woodland wildflower,,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Bushel and Berry Pink Icing Blueberry,Vaccinium ZG06-079 Pink Icing Blueberry,Vaccinium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,upright shrub,,"elliptic, alternate, toothed, green; brilliant fall color",3,10,6,10,Full sun to part shade,Medium to wet,"acidic, moist, well-drained",3 to 7,,TRUE,,,,,,April to May,red to orange,October to November,August to October,"blueberry, edible fruit, acidic soil, fall color",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Crop Highbush Blueberry,Vaccinium corymbosum Blue Crop,Vaccinium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,upright shrub,,medium,6,12,6,10,Full sun to part shade,average,"sand, loam, clay",3 to 7,,TRUE,Tolerant,,8,-3,,Early Summer,red to orange,October to November,August to October,"fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Highbush Blueberry,Vaccinium corymbosum Duke,Vaccinium,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,upright shrub,,medium,6,12,6,10,Full sun to part shade,average,"sand, loam, clay",3 to 7,,TRUE,Tolerant,,8,-3,,Early Summer,red to orange,October to November,August to October,"fall color, showy fruit",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Vervain,Verbena hastata,Verbena,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,,3,5,2,3,Full sun to part shade,Medium to wet,"average to poor, well-drained",3 to 9,TRUE,,,,4,-4,purple,July to September,,,,"rain garden, attracts butterflies, blue vervain",,biennial,,,,,,,,,,,,,,,,,,,,,,,,,
Bampton Vervain,Verbena officinalis var. grandiflora Bampton,Verbena,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,,2,3,2,3,Full sun,Dry to medium,"average to poor, well-drained",3 to 9,TRUE,,,,,,,June to September,,,,"common vervain, attracts butterflies and bees",,annual,,,,,,,,,,,,,,,,,,,,,,,,,
Hoary Vervain,Verbena stricta,Verbena,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,,2,4,1.5,2.5,Full sun,Dry,"average to poor, well-drained",3 to 9,TRUE,,,,4,5,purple,June to September,,,,"attracts native bees, drought-tolerant prairie plant",,annual,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Butterly Ironweed,Vernonia Iron Butterfly,Vernonia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, toothed, alternate",3,6,2,3,Full sun,Medium to wet,"average, medium",5 to 9,,TRUE,,,,,purple to magenta,July to October,bronze to brown,October to November,October to December,"ironweed, magenta fall bloomer, monarch butterfly plant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Cross Ironweed,Vernonia Southern Cross,Vernonia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, toothed, alternate",3,6,2,3,Full sun,Medium to wet,"average, medium",5 to 9,,TRUE,,,,,purple to magenta,July to October,bronze to brown,October to November,October to December,"ironweed, magenta fall bloomer, monarch butterfly plant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Summers End Ironweed,Vernonia Summers End,Vernonia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, toothed, alternate",3,6,2,3,Full sun,Medium to wet,"average, medium",5 to 9,,TRUE,,,,,purple to magenta,July to October,bronze to brown,October to November,October to December,"ironweed, magenta fall bloomer, monarch butterfly plant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Summers Swan Song Ironweed,Vernonia Summers Swan Song,Vernonia,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, toothed, alternate",3,6,2,3,Full sun,Medium to wet,"average, medium",5 to 9,,TRUE,,,,,purple to magenta,July to October,bronze to brown,October to November,October to December,"ironweed, magenta fall bloomer, monarch butterfly plant",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Common Ironweed,Vernonia fasciculata,Vernonia,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,upright clump,,"lanceolate, toothed, alternate",2,4,2,3,Full sun,Medium to wet,"average, medium",4 to 9,,TRUE,,,5,-3,magenta,July to September,bronze to brown,October to November,October to December,"ironweed, magenta fall bloomer, monarch butterfly plant",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Culvers Root Queen of Diamonds,Veronicastrum virginicum Queen of Diamonds,Veronicastrum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,flower,upright clump,,"lanceolate, whorled in 3–6, toothed, green",3,6,2,3,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,,,,7,0,,July to September,,,,"culver's root, tall prairie spike, attracts butterflies",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Burkwood Viburnum,Viburnum burkwoodii,Viburnum,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,8,Full sun to part shade,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,,,white to pink,April to May,red to purple,October,September to November,"fragrant spring flowers, semi-evergreen",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Mohawk Burkwood Viburnum,Viburnum burkwoodii Mohawk,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,8,Full sun to part shade,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,,,,April to May,red to purple,October,September to November,"fragrant spring flowers, semi-evergreen",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Koreanspice Viburnum,Viburnum carlesii,Viburnum,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",4,5,4,5,Full sun to part shade,Medium,"average, medium, well-drained",4 to 7,,TRUE,,,,,pink to white,April to May,red to purple,October,September to November,"intensely fragrant spring flowers, red fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Cayuga Koreanspice Viburnum,Viburnum carlesii Cayuga,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",4,5,4,5,Full sun to part shade,Medium,"average, medium, well-drained",4 to 7,,TRUE,,,,,,April to May,red to purple,October,September to November,"intensely fragrant spring flowers, red fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarf Koreanspice Viburnum,Viburnum carlesii Compactum,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",4,5,4,5,Full sun to part shade,Medium,"average, medium, well-drained",4 to 7,,TRUE,,,,,,April to May,red to purple,October,September to November,"intensely fragrant spring flowers, red fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Spice Baby Koreanspice Viburnum,Viburnum carlesii Spice Baby,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",4,5,4,5,Full sun to part shade,Medium,"average, medium, well-drained",4 to 7,,TRUE,,,,,,April to May,red to purple,October,September to November,"intensely fragrant spring flowers, red fall color",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Jazz Arrowwood Viburnum,Viburnum dentatum Autumn Jazz,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,coarse,6,10,6,10,Full sun to part shade,average,"loam, clay",3 to 8,,TRUE,Tolerant,,0,5,,Late Spring,red to purple,October to November,September to November,"showy flowers, showy fruit",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Muffin Arrowwood Viburnum,Viburnum dentatum Blue Muffin,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,coarse,6,10,6,10,Full sun to part shade,average,"loam, clay",3 to 8,,TRUE,Tolerant,,0,5,,Late Spring,red to purple,October to November,September to November,"showy flowers, showy fruit",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Lustre Arrowwood Viburnum,Viburnum dentatum Chicago Lustre,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,coarse,6,10,6,10,Full sun to part shade,average,"loam, clay",3 to 8,,TRUE,Tolerant,,0,5,,Late Spring,red to purple,October to November,September to November,"showy flowers, showy fruit",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Judd Viburnum,Viburnum juddii,Viburnum,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,8,6,8,Full sun to part shade,Medium,"average, medium, well-drained",4 to 8,,TRUE,,,,,white to pink,April to May,red to purple,October to November,September to November,"fragrant spring flowers, red-purple fall color",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Mohican Wayfaring Tree Viburnum,Viburnum lantana Mohican,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,coarse,6,10,6,10,Full sun to part shade,moist,loam,3 to 8,,TRUE,Intolerant,,0,5,,Late Spring,red to purple,October to November,September to November,"showy flowers, fall color, showy fruit",,slow growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Nannyberry Viburnum,Viburnum lentago,Viburnum,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,coarse,6,28,6,10,Full sun to part shade,average,"loam, clay",2 to 8,,TRUE,Tolerant,,5,-1,white,Late Spring,red to purple,September to October,September to December,"showy flowers, fall color, showy fruit",,slow growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Opening Day Doublefile Viburnum,Viburnum plicatum Opening Day (PIIVIB-II),Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,10,Full sun to part shade,Medium,"average, medium, well-drained",3 to 8,,TRUE,,,,,,April to June,red to purple,October to November,September to November,"viburnum, fragrant or showy flowers, berries attract birds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Mariesii Doublefile Viburnum,Viburnum plicatum var. tomentosum Mariesii,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,10,Full sun to part shade,Medium,"average, medium, well-drained",3 to 8,,TRUE,,,,,,April to June,red to purple,October to November,September to November,"viburnum, fragrant or showy flowers, berries attract birds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta Doublefile Viburnum,Viburnum plicatum var. tomentosum Shasta,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,10,Full sun to part shade,Medium,"average, medium, well-drained",3 to 8,,TRUE,,,,,,April to June,red to purple,October to November,September to November,"viburnum, fragrant or showy flowers, berries attract birds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Blackhaw Viburnum,Viburnum prunifolium,Viburnum,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,rounded shrub,,medium,8,16,6,12,Full sun to part shade,average,"loam, clay",3 to 9,TRUE,TRUE,Tolerant,,5,3,white,Spring,red to purple,October to November,September to November,"showy flowers, fall color, showy fruit",,slow growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Rouge Blackhaw Viburnum,Viburnum prunifolium McKRouge (Forest Rouge),Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,medium,8,15,6,12,Full sun to part shade,average,"loam, clay",3 to 9,TRUE,TRUE,Tolerant,,5,3,,Spring,red to purple,October to November,September to November,"showy flowers, fall color, showy fruit",,slow growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Allegheny Lantanaphyllum Viburnum,Viburnum rhytidophylloides Allegheny,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,10,Full sun to part shade,Medium,"average, medium, well-drained",3 to 8,,TRUE,,,,,,April to June,red to purple,October to November,September to November,"viburnum, fragrant or showy flowers, berries attract birds",,perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Compact Alfredo American Cranberry Viburnum,Viburnum trilobum Alfredo,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,10,Full sun to part shade,Medium,"average, medium, well-drained",3 to 8,,TRUE,,,10,-3,,April to June,red to purple,October to November,September to November,"viburnum, fragrant or showy flowers, berries attract birds",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Compact American Cranberry Viburnum,Viburnum trilobum Bailey Compact,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,10,Full sun to part shade,Medium,"average, medium, well-drained",3 to 8,,TRUE,,,10,-3,,April to June,red to purple,October to November,September to November,"viburnum, fragrant or showy flowers, berries attract birds",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Wentworth American Cranberry Viburnum,Viburnum trilobum Wentworth,Viburnum,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,rounded shrub,,"ovate to rounded, opposite, variable",6,10,6,10,Full sun to part shade,Medium,"average, medium, well-drained",3 to 8,,TRUE,,,10,-3,,April to June,red to purple,October to November,September to November,"viburnum, fragrant or showy flowers, berries attract birds",,moderate growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Bird-Foot Violet,Viola pedata,Viola,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,flower,mound,,,0.25,0.5,0.5,1,Full sun to part shade,Dry to medium,"average, medium, well-drained",4 to 8,TRUE,,,,,,violet,April to May,,,,"bird's foot violet, prairie and sandy soils, butterfly host",,rapid growth; short-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Concord Grape,Vitis Concord,Vitis,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"large, palmately lobed, alternate, green; red fall color",15,30,10,20,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,,,,,,,June to July,red to burgundy,October to November,,"grape vine, edible fruit, fall color, wildlife value",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Mars Grape,Vitis Mars,Vitis,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"large, palmately lobed, alternate, green; red fall color",15,30,10,20,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,,,,,,,June to July,red to burgundy,October to November,,"grape vine, edible fruit, fall color, wildlife value",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
St. Theresa Seedless Grape,Vitis St. Theresa Seedless,Vitis,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"large, palmately lobed, alternate, green; red fall color",15,30,10,20,Full sun to part shade,Medium,"average, medium, well-drained",3 to 9,,,,,,,,June to July,red to burgundy,October to November,,"grape vine, edible fruit, fall color, wildlife value",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Amethyst Falls American Wisteria,Wisteria frutescens Amethyst Falls,Wisteria,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"pinnately compound, 9–15 leaflets, bright green",15,30,10,20,Full sun,Medium,"average, medium, well-drained",4 to 9,,,,,,,,May to June,,,,"native wisteria, less aggressive, fragrant",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Cascade Kentucky Wisteria,Wisteria macrostachya Betty Matthews (Summer Cascade),Wisteria,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"pinnately compound, bright green",15,25,10,20,Full sun,Medium,"average, medium, well-drained",4 to 9,,,,,0,5,,May to June,,,,"Kentucky wisteria, fragrant, reblooms",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Moon Kentucky Wisteria,Wisteria macrostachys Blue Moon,Wisteria,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,vine,climbing vine,,"pinnately compound, bright green",15,25,10,20,Full sun,Medium,"average, medium, well-drained",4 to 9,,,,,,,,May to June,,,,"Kentucky wisteria, fragrant, reblooms",,rapid growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Adams Needle Yucca,Yucca filamentosa,Yucca,N,Fiore,Native / near-region (PROVISIONAL - genus-native tie; verify),Native or near-region species of a regional-native genus (verify species-level status),,,,shrub,,,"sword-like, rigid, green with white thread margins, evergreen",4,10,3,5,Full sun,Dry,"average to poor, well-drained",4 to 10,TRUE,TRUE,,,,,creamy white,June to July,,,,"evergreen focal point, yucca moth host, four-season interest",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Color Guard Adams Needle Yucca,Yucca filamentosa Color Guard,Yucca,Y,Fiore,Native cultivar / congener (PROVISIONAL - genus-native tie; verify),Cultivar/selection within a regional-native genus (verify: native cultivar vs exotic congener),,,,shrub,,,"sword-like, rigid, variegated yellow and green, evergreen",4,10,3,5,Full sun,Dry,"average to poor, well-drained",4 to 10,TRUE,TRUE,,,,,,June to July,,,,"evergreen focal point, yucca moth host, four-season interest",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Kohouts Ice Breaker Korean Fir,Abies koreana Kohouts Ice Breaker,Abies,Y,Fiore,Native cultivar (genus-native tie; resolved),Pinaceae; Abies balsamea (balsam fir) native to region,,,,shrub,,,"short needles, dark green above, white below, evergreen",1,2,1,2,Full sun to part shade,Medium,"average, moist, well-drained",4 to 7,,,,,,,,,,,,"Korean fir, ornamental purple cones, compact",,slow growth; long-lived,,,,,,,,,,,,,,,,,,,,,,,,,
Spiny Bears Breeches,Acanthus spinosus,Acanthus,N,Fiore,Confamilial - non-native (resolved),Acanthaceae (cf. native Ruellia humilis),,,,flower,upright clump,,"large, deeply lobed, spiny-toothed, dark glossy green",3,4,2.5,3,"full sun, part shade",Medium,"average, well-drained","5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b, 9a, 9b",,,,,,,white,"Late Spring, Early Summer, Mid Summer",,,,,,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Ladys Mantle,Alchemilla mollis,Alchemilla,N,Fiore,Confamilial - non-native (resolved),"Rosaceae (cf. Rubus, Rosa, Amelanchier)",,,,flower,mound,,"rounded, lobed, softly hairy, gray-green",1,1.5,1.5,2,"full sun, part shade",Medium,"average, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",,,,,,,chartreuse,Early Summer,,,,"chartreuse flower sprays, stunning water-beading foliage",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Thriller Ladys Mantle,Alchemilla mollis Thriller,Alchemilla,Y,Fiore,Confamilial - non-native (resolved),"Rosaceae (cf. Rubus, Rosa, Amelanchier)",,,,flower,mound,,"rounded, lobed, softly hairy, gray-green",1,1.5,1.5,2,"full sun, part shade",Medium,"average, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",,,,,,,,Early Summer,,,,"chartreuse flower sprays, stunning water-beading foliage",,moderate growth; long-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Silvermound Wormwood,Artemisia schmidtiana,Artemisia,N,Fiore,Native / near-region (genus-native tie; resolved),"Asteraceae; native sages (A. ludoviciana, A. campestris)",,,,flower,,,,0.75,1,1,1.5,Full sun to part shade,Dry to medium,"average to poor, well-drained",1 to 9,TRUE,TRUE,,,,,yellow,July to August,,,,"silver mound, fragrant silvery foliage, deer resistant",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarf Silvermound Wormwood,Artemisia schmidtiana Nana,Artemisia,Y,Fiore,Native cultivar (genus-native tie; resolved),"Asteraceae; native sages (A. ludoviciana, A. campestris)",,,,flower,,,,0.75,1,1,1.5,Full sun to part shade,Dry to medium,"average to poor, well-drained",1 to 9,TRUE,TRUE,,,,,,July to August,,,,"silver mound, fragrant silvery foliage, deer resistant",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Shogun Astilbe,Astilbe Chocolate Shogun,Astilbe,Y,Fiore,Confamilial - non-native (resolved),"Saxifragaceae (cf. Heuchera, Tiarella, Mitella)",,,,flower,upright clump,,"compound, toothed, glossy green",1.5,3,1,2,Part shade to full shade,Medium to wet,"rich, moist, well-drained",4 to 9,,TRUE,,,,,,June to August,,,,"astilbe, feathery plumes, shade-tolerant, needs moisture",,moderate growth; moderate-lived; perennial,,,,,,,,,,,,,,,,,,,,,,,,,
